date,dayofweek,visiting_team,v_game_number,home_team,h_game_number,v_score,h_score,LOG_inouts,LOG_minutes,v_AB,v_H,v_2B,v_3B,v_HR,v_RBI,v_SF,v_HBP,v_BB,v_K,v_SB,v_GIDP,v_LOB,v_pitchers_used,v_ER,v_def_assists,v_errors_def,v_doubleplays_def,h_AB,h_H,h_2B,h_3B,h_HR,h_RBI,h_SF,h_HBP,h_BB,h_K,h_SB,h_GIDP,h_LOB,h_pitchers_used,h_ER,h_def_assists,h_errors_def,h_doubleplays_def
20190331,Sun,NYM,3,WSN,3,5,6,52,195,39,13,2,0,0,4,0,0,2,8,2,1,9,5,6,8,1,0,36,11,3,0,2,6,0,1,1,11,1,0,7,5,5,8,0,1
20190331,Sun,CHW,3,KCR,3,6,3,54,177,36,11,3,0,2,6,0,0,5,7,0,2,8,4,3,7,0,0,33,6,2,0,0,3,0,0,1,9,0,0,4,5,6,11,0,2
20190331,Sun,CLE,3,MIN,3,3,9,51,159,31,6,1,0,0,3,0,0,6,13,0,1,7,4,8,11,1,2,35,15,6,0,1,7,1,1,2,7,0,2,6,4,3,6,0,1
20190331,Sun,BAL,3,NYY,3,7,5,54,228,34,8,1,0,3,7,0,0,7,11,1,1,7,4,5,6,1,0,37,9,1,0,1,5,0,1,8,14,0,0,14,4,6,10,1,1
20190331,Sun,ANA,4,OAK,6,1,2,51,160,29,3,2,0,1,1,0,1,1,8,1,1,3,4,2,6,2,1,31,7,1,0,1,2,0,0,3,6,0,1,8,4,1,13,0,1
20190331,Sun,BOS,4,SEA,6,8,10,51,219,37,9,3,0,2,8,0,0,8,4,0,0,10,5,5,2,1,0,37,12,3,0,2,10,1,0,7,11,1,0,11,6,6,8,1,0
20190331,Sun,HOU,4,TBD,4,1,3,51,132,28,3,0,0,1,1,0,0,1,6,0,1,1,2,3,10,0,0,32,8,2,0,1,3,0,0,0,8,0,0,5,5,1,10,0,2
20190331,Sun,CHC,3,TEX,3,10,11,52,226,43,17,2,0,2,10,0,0,3,9,1,1,10,5,11,12,0,1,34,11,1,1,3,10,1,0,6,7,2,1,5,5,10,8,0,1
20190331,Sun,DET,4,TOR,4,4,3,66,197,43,10,3,0,0,4,0,1,4,13,0,0,11,5,3,13,0,1,39,8,2,0,1,3,0,1,1,10,0,1,5,8,4,8,1,0
20190401,Mon,CHC,4,ATL,4,0,8,51,192,33,9,3,0,0,0,0,0,4,5,0,3,10,5,2,8,6,1,36,12,3,0,2,6,0,0,7,9,0,1,11,5,0,16,1,4
20190401,Mon,MIL,5,CIN,3,4,3,54,211,36,11,4,0,0,4,0,0,5,9,0,2,10,4,3,12,0,1,34,8,2,0,0,3,0,1,4,9,0,1,9,5,4,9,1,2
20190401,Mon,SFG,5,LAD,5,4,2,54,179,36,9,4,0,1,4,0,1,0,11,0,0,6,5,2,12,0,2,32,7,0,0,2,2,0,0,2,8,0,2,5,5,4,6,1,0
20190401,Mon,NYM,4,FLA,5,7,3,54,190,36,10,2,0,2,6,0,2,2,16,0,1,6,4,1,10,1,2,35,9,0,0,1,3,0,0,1,7,0,2,6,5,7,6,0,1
20190401,Mon,STL,5,PIT,3,6,5,66,290,40,8,2,0,1,5,0,3,8,17,0,1,12,7,5,15,1,3,35,6,2,0,1,5,1,2,8,9,0,2,9,9,4,8,2,1
20190401,Mon,ARI,5,SDP,5,10,3,54,184,40,15,5,0,1,9,1,0,4,8,1,1,8,2,3,9,0,1,31,6,1,0,1,3,1,0,2,5,0,1,4,4,9,7,1,2
20190401,Mon,CHW,4,CLE,4,3,5,51,182,30,3,1,0,1,3,0,1,4,14,0,0,6,4,4,11,1,1,32,8,3,0,0,4,0,0,5,6,0,1,8,5,2,6,1,0
20190401,Mon,DET,5,NYY,4,1,3,51,163,29,2,1,0,0,0,0,0,7,9,0,0,8,3,2,9,1,0,29,5,1,0,2,2,0,0,4,8,1,0,6,5,0,4,1,0
